"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-06","EU_EEA31","EU/EEA",0.017388000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-06","EU28","EU",0.017750000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-06","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-07","EU_EEA31","EU/EEA",0.014227000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-07","EU28","EU",0.014620000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-07","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-08","EU_EEA31","EU/EEA",0.048200000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-08","EU28","EU",0.049615000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-08","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-09","EU_EEA31","EU/EEA",0.033689000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-09","EU28","EU",0.034240000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-09","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-10","EU_EEA31","EU/EEA",0.027129000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-10","EU28","EU",0.027785000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-10","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-11","EU_EEA31","EU/EEA",0.035381000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-11","EU28","EU",0.035816000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-11","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-12","EU_EEA31","EU/EEA",0.029112000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-12","EU28","EU",0.029403000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2008-12","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009","EU_EEA31","EU/EEA",0.017745000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009","EU28","EU",0.018073000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-01","EU_EEA31","EU/EEA",0.030307000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-01","EU28","EU",0.030599000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-01","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-02","EU_EEA31","EU/EEA",0.058927000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-02","EU28","EU",0.059535000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-02","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-03","EU_EEA31","EU/EEA",0.033512000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-03","EU28","EU",0.034158000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-03","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-04","EU_EEA31","EU/EEA",0.026842000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-04","EU28","EU",0.027188000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-04","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-05","EU_EEA31","EU/EEA",0.033833000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-05","EU28","EU",0.034486000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-05","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-06","EU_EEA31","EU/EEA",0.008339000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-06","EU28","EU",0.008548000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-06","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-07","EU_EEA31","EU/EEA",0.019645000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-07","EU28","EU",0.020191000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-07","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-08","EU_EEA31","EU/EEA",0.015554000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-08","EU28","EU",0.015924000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-08","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-09","EU_EEA31","EU/EEA",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-09","EU28","EU",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-09","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-10","EU_EEA31","EU/EEA",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-10","EU28","EU",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-10","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-11","EU_EEA31","EU/EEA",0.023654000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-11","EU28","EU",0.023903000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-11","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-12","EU_EEA31","EU/EEA",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-12","EU28","EU",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2009-12","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010","EU_EEA31","EU/EEA",0.025561000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010","EU28","EU",0.025970000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-01","EU_EEA31","EU/EEA",0.014639000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-01","EU28","EU",0.014749000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-01","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-02","EU_EEA31","EU/EEA",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-02","EU28","EU",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-02","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-03","EU_EEA31","EU/EEA",0.048138000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-03","EU28","EU",0.048772000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-03","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-04","EU_EEA31","EU/EEA",0.057878000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-04","EU28","EU",0.058651000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-04","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-05","EU_EEA31","EU/EEA",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-05","EU28","EU",0.000000000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-05","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-06","EU_EEA31","EU/EEA",0.014788000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-06","EU28","EU",0.014977000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-06","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-07","EU_EEA31","EU/EEA",0.037850000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-07","EU28","EU",0.038562000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-07","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-08","EU_EEA31","EU/EEA",0.050121000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-08","EU28","EU",0.051725000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-08","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-09","EU_EEA31","EU/EEA",0.015252000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-09","EU28","EU",0.015511000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-09","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-10","EU_EEA31","EU/EEA",0.029653000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-10","EU28","EU",0.030099000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-10","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-11","EU_EEA31","EU/EEA",0.010392000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-11","EU28","EU",0.010531000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-11","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-12","EU_EEA31","EU/EEA",0.013723000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-12","EU28","EU",0.013836000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2010-12","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011","EU_EEA31","EU/EEA",0.037307000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011","EU28","EU",0.037948000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-01","EU_EEA31","EU/EEA",0.047110000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-01","EU28","EU",0.047626000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-01","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-02","EU_EEA31","EU/EEA",0.054269000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-02","EU28","EU",0.054834000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-02","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-03","EU_EEA31","EU/EEA",0.091227000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-03","EU28","EU",0.092521000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-03","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-04","EU_EEA31","EU/EEA",0.067521000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-04","EU28","EU",0.068882000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-04","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-05","EU_EEA31","EU/EEA",0.054951000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-05","EU28","EU",0.055828000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-05","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-06","EU_EEA31","EU/EEA",0.022659000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-06","EU28","EU",0.023060000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-06","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-07","EU_EEA31","EU/EEA",0.033262000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-07","EU28","EU",0.034048000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-07","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-08","EU_EEA31","EU/EEA",0.028022000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-08","EU28","EU",0.028721000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-08","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-09","EU_EEA31","EU/EEA",0.014140000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-09","EU28","EU",0.014348000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-09","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-10","EU_EEA31","EU/EEA",0.009909000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-10","EU28","EU",0.010061000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-10","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-11","EU_EEA31","EU/EEA",0.070372000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-11","EU28","EU",0.071292000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-11","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-12","EU_EEA31","EU/EEA",0.027012000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-12","EU28","EU",0.027348000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2011-12","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012","EU_EEA31","EU/EEA",0.027321000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012","EU28","EU",0.027802000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-01","EU_EEA31","EU/EEA",0.013698000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-01","EU28","EU",0.013869000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-01","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-02","EU_EEA31","EU/EEA",0.018953000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-02","EU28","EU",0.019249000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-02","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-03","EU_EEA31","EU/EEA",0.064226000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-03","EU28","EU",0.065061000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-03","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-04","EU_EEA31","EU/EEA",0.065072000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-04","EU28","EU",0.065886000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-04","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-05","EU_EEA31","EU/EEA",0.042408000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-05","EU28","EU",0.042904000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-05","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-06","EU_EEA31","EU/EEA",0.031630000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-06","EU28","EU",0.032092000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-06","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-07","EU_EEA31","EU/EEA",0.022692000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-07","EU28","EU",0.023348000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-07","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-08","EU_EEA31","EU/EEA",0.006341000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-08","EU28","EU",0.006488000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-08","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-09","EU_EEA31","EU/EEA",0.044714000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-09","EU28","EU",0.045429000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-09","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-10","EU_EEA31","EU/EEA",0.009740000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-10","EU28","EU",0.010004000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-10","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-11","EU_EEA31","EU/EEA",0.019868000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-11","EU28","EU",0.020130000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-11","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-12","EU_EEA31","EU/EEA",0.016854000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-12","EU28","EU",0.016969000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2012-12","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013","EU_EEA31","EU/EEA",0.048284000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013","EU28","EU",0.049282000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013-01","EU_EEA31","EU/EEA",0.066339000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013-01","EU28","EU",0.066880000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013-01","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013-02","EU_EEA31","EU/EEA",0.054955000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013-02","EU28","EU",0.055504000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013-02","UK","United Kingdom",-,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013-03","EU_EEA31","EU/EEA",0.053869000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013-03","EU28","EU",0.054575000,""
"Campylobacteriosis","Confirmed cases","Case fatality","%","2013-03","UK","United Kingdom",-,""
